class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,F6,Theta,0.009005733901898665,0.006168901464619817,23
0,JOY,F6,Alpha,0.0056912390284662405,0.0056912390284662405,23
0,JOY,F6,Beta,0.03310096726122162,0.01806075423547043,23
0,JOY,F6,Gamma,0.009117722859209549,0.00817308148528428,23
0,JOY,FC5,Delta,0.015776784652336204,0.011389139202759645,23
0,JOY,FC5,Theta,0.00536706219909499,0.004458463348237884,23
0,JOY,FC5,Alpha,0.01075801876297654,0.005417729701294454,23
0,JOY,FC5,Beta,0.03810495949990216,0.03092787840056622,23
0,JOY,FC5,Gamma,0.008695040575465014,0.004199334695290023,23
0,JOY,F1,Delta,0.0,0.0,23
0,JOY,F1,Theta,0.0,0.0,23
0,JOY,F1,Alpha,0.0,0.0,23
0,JOY,F1,Beta,0.0,0.0,23
0,JOY,F1,Gamma,0.004096387014393403,0.00029247596782357394,23
0,JOY,AF4,Delta,0.019937100668613678,0.0120224537132137,23
0,JOY,AF4,Theta,0.01087353900102631,0.00276860711341314,23
0,JOY,AF4,Alpha,0.0,0.0,23
0,JOY,AF4,Beta,0.025749129545867323,0.011909502297481526,23
0,JOY,AF4,Gamma,0.026880144042575632,0.014957802740725515,23
0,JOY,AF8,Delta,0.025102780050299076,0.009579532072623836,23
0,JOY,AF8,Theta,0.012102091226401476,0.009887416667854068,23
0,JOY,AF8,Alpha,0.009001737018318861,0.0038131256162689496,23
0,JOY,AF8,Beta,0.07317208845777239,0.052917391534172846,23
0,JOY,AF8,Gamma,0.03740516574162693,0.033407528849951,23
0,JOY,F5,Delta,0.0,0.0,23
0,JOY,F5,Theta,0.0,0.0,23
0,JOY,F5,Alpha,0.0,0.0,23
0,JOY,F5,Beta,0.023886146839012443,0.021427564317037223,23
0,JOY,F5,Gamma,0.021109476730191267,0.017417571292575124,23
0,JOY,AF7,Delta,0.03495888238381732,0.030095864966167615,23
0,JOY,AF7,Theta,0.043300381555187686,0.04104276668714356,23
0,JOY,AF7,Alpha,0.033337255105415846,0.030934136073583366,23
0,JOY,AF7,Beta,0.11988384419956166,0.11567858417189565,23
0,JOY,AF7,Gamma,0.10657848170456599,0.09901448856044869,23
0,JOY,AF3,Delta,7.332310307155006e-05,6.621472529398103e-05,23
0,JOY,AF3,Theta,0.0,0.0,23
0,JOY,AF3,Alpha,0.0,0.0,23
0,JOY,AF3,Beta,0.003742573885138715,0.0032917008533790066,23
0,JOY,AF3,Gamma,0.017643700751282323,0.015441966089254959,23
0,JOY,Fpz,Delta,0.01507035834162735,0.011767984225599585,23
0,JOY,Fpz,Theta,0.013492228282634921,0.010837663604574738,23
0,JOY,Fpz,Alpha,0.010482670876104662,0.00725796873973566,23
0,JOY,Fpz,Beta,0.05047912809189241,0.044719174198186044,23
0,JOY,Fpz,Gamma,0.044736846021700194,0.031074392948853,23
1,NEUTRO,O2,Delta,0.003206060976129926,0.0026568371546679954,23
1,NEUTRO,O2,Theta,0.02767294069132927,0.023468418712768183,23
1,NEUTRO,O2,Alpha,0.0071561217654951045,0.006589735214974019,23
1,NEUTRO,O2,Beta,0.015034005489432312,0.009699359398505275,23
1,NEUTRO,O2,Gamma,0.009922746791936728,0.00834651388479886,23
1,NEUTRO,O1,Delta,0.0004158496406987043,3.0298645378171345e-05,23
1,NEUTRO,O1,Theta,0.008323777604762798,0.003728899047794844,23
1,NEUTRO,O1,Alpha,0.004375711755057715,0.003168060571196174,23
1,NEUTRO,O1,Beta,0.027992572313509354,0.016877904126214666,23
1,NEUTRO,O1,Gamma,0.012164542090950647,0.006117445991025494,23
1,NEUTRO,Oz,Delta,0.0,0.0,23
1,NEUTRO,Oz,Theta,0.0001833776605295777,0.0001104621205521889,23
1,NEUTRO,Oz,Alpha,0.013165099167747185,0.008025095109182267,23
1,NEUTRO,Oz,Beta,0.03552445951536785,0.024756286440730423,23
1,NEUTRO,Oz,Gamma,0.02716612215367266,0.01990117373983425,23
1,NEUTRO,Pz,Delta,0.01537859463351894,0.015021842064869851,23
1,NEUTRO,Pz,Theta,0.028499059170939495,0.028499059170939495,23
1,NEUTRO,Pz,Alpha,0.029025512155270532,0.025067067633498506,23
1,NEUTRO,Pz,Beta,0.055983446587846555,0.05545364028375962,23
1,NEUTRO,Pz,Gamma,0.041209052296133454,0.041209052296133454,23
1,NEUTRO,P4,Delta,0.0,0.0,23
1,NEUTRO,P4,Theta,0.0,0.0,23
1,NEUTRO,P4,Alpha,0.0,0.0,23
1,NEUTRO,P4,Beta,0.006480707102908142,0.005838259168334886,23
1,NEUTRO,P4,Gamma,0.0,0.0,23
1,NEUTRO,CP4,Delta,0.0,0.0,23
1,NEUTRO,CP4,Theta,0.0031223013071031546,0.002021652767957853,23
1,NEUTRO,CP4,Alpha,0.0,0.0,23
1,NEUTRO,CP4,Beta,0.0025956654328975854,0.0019985936491296688,23
1,NEUTRO,CP4,Gamma,0.0013201507884143709,0.0007219800748219901,23
1,NEUTRO,P8,Delta,0.011266098924431258,0.00942202084186259,23
1,NEUTRO,P8,Theta,0.0,0.0,23
1,NEUTRO,P8,Alpha,0.0,0.0,23
1,NEUTRO,P8,Beta,0.019482303116437217,0.014591297026419973,23
1,NEUTRO,P8,Gamma,0.008533389456308544,0.006717731980044852,23
1,NEUTRO,C4,Delta,0.021548041935295165,0.012330914479888018,23
1,NEUTRO,C4,Theta,0.008110080815427337,0.003870604730096772,23
1,NEUTRO,C4,Alpha,0.0,0.0,23
1,NEUTRO,C4,Beta,0.011880901047480845,0.00841563225194771,23
1,NEUTRO,C4,Gamma,0.024588986116262705,0.01909339937925624,23
1,NEUTRO,TP8,Delta,0.0,0.0,23
1,NEUTRO,TP8,Theta,0.005903487495341966,0.004320633424136071,23
1,NEUTRO,TP8,Alpha,0.0,0.0,23
